center 0,score,MILLISEC
99.87385766478607,1499.0125551540511,295964
93.68890373231224,968.5893174375291,295997
88.95167193105297,1208.000060670324,296030
79.89484756205765,550.0133330355724,296064
66.91060795994649,329.17054243034505,296097
69.96820053610831,143.85091373893073,296130
62.14911031909005,426.8880865455757,296164
59.43699909354372,435.24313875408336,296197
61.850143548633504,688.1597430134289,296230
63.09496735349601,678.0250946612722,296264
107.21118197049825,2198.362460488709,296297
104.3341392600872,2840.78738485673,296330
110.13081195228897,3350.604258729564,296364
120.22957033829206,1958.6504162696772,296397
79.87167703214445,248.91520807280858,296430
57.14401046270707,197.56206823802466,296464
64.06773837845348,708.1248990700382,296497
63.78120677413856,87.95766243458127,296530
86.767797091946,1232.9493878108908,296564
77.24236811207604,1420.4165684385403,296597
77.76134092563822,1044.973857446662,296630
69.14821848781256,636.9238799617387,296664
62.73591991554794,735.2043523499553,296697
61.265791478880644,660.1027944663156,296730
43.65211211720593,336.0931077068837,296764
39.461159752033396,429.01687102449995,296797
54.504692410874576,477.23850519595135,296830
62.133219367987884,925.8630509694943,296864
53.25144537823344,851.0835651290206,296897
47.79705085090729,665.0419299557827,296930
42.295570539957396,628.2847126994877,296964
39.00472247948712,517.431624298192,296997
43.68091178508939,888.3779456232389,297030
43.45743632207966,877.451228312392,297064
33.77728320372413,453.8951393754157,297097
45.984510289108485,428.42481347087596,297130
40.07971605851302,622.0163606689732,297164
48.21997183445766,527.2343162841102,297197
41.275618872172515,1214.9232867191563,297230
26.68839798679079,118.52941289866158,297264
45.81113362394785,469.5400360887944,297297
47.55758891186766,317.8757368898016,297330
45.12185798054985,443.0179323830906,297364
49.70229146113346,761.6822235125397,297397
40.72743221444165,524.8762652180606,297430
33.55726783296838,235.10977558642617,297464
47.22270945839422,1085.215711408085,297497
41.918031539168744,282.0786318812543,297530
38.215810730608965,560.1518102022728,297564
42.012885243534484,256.71747351360244,297597
45.81625444055898,391.67082903796006,297630
51.095761019769306,806.6232058106241,297664
47.67242182015027,1077.1401978016604,297697
53.219337865564626,1276.3020771508798,297730
28.971089855295826,52.475952596375365,297764
27.153636095485673,575.6800467939377,297797
42.427543314983566,1067.9035682551935,297830
48.521659541839725,145.6485553057946,297864
48.79143108564531,267.9962526147248,297897
36.679711332077694,301.398776595451,297930
35.20268725011273,402.57081037075125,297964
47.56461677255022,581.2072312804349,297997
50.45265061481537,472.3300459393707,298030
45.70259044093317,709.2732269883238,298064
35.44202164961716,716.2631013880684,298097
42.35752103033242,801.8404121649464,298130
49.46895980344634,764.6220159650095,298164
39.791712223588206,514.0196383151406,298197
53.793992231289266,188.80639981998993,298230
36.316773158457366,150.89198735715087,298264
